Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
coup,noun,a sudden decisive exercise of force in politics and especially the violent overthrow or alteration of an existing government by a small group,The peaceful transfer of power prevented a military coup.,,Est. Core,Est. High
sway,verb,move or cause to move slowly or rhythmically backwards and forwards or,Public opinion can sway election outcomes significantly.,,Est. Core,Est. High
delegate,verb,"to give part of your work, power or authority to somebody in a lower position than you n. a person who is chosen or elected to represent the views of a group of people and vote and make decisions for them",Leaders who cannot delegate responsibility often burn out before achieving their goals.,,Est. Medium,Est. Mid
heuristic,adjective,"teaching or education encourages you to learn by discovering things for yourself n. a method of solving problems by finding practical ways of dealing with them, learning",The puzzle requires heuristic thinking rather than memorization.,,Est. Advanced,Est. Low
rally,noun,a large public meeting v. to come together or bring people together in order to help or support somebody/something,Thousands attended the rally for educational reform.,,Est. Core,Est. High
mock,verb,"make fun of, laugh at somebody/something in an unkind way, especially by copying what they say or do adj. sham, not sincere or real",Those who mock innovation today often become its greatest beneficiaries tomorrow.,,Est. Core,Est. High
taint,noun,the effect of something bad or unpleasant that damages or harms the quality of somebody/ something vt. to damage or harm the quality of something or the opinion that people have of somebody/something,The bribery scandal tainted the judge's reputation.,,Est. Core,Est. High
ascetic,adjective,"not allowing yourself physical pleasures, especially for religious reasons",The scholar's ascetic lifestyle reflected his philosophical beliefs.,,Est. Medium,Est. Mid
initiative,noun,the ability to assess and initiate things independently,Her initiative saved the company millions while others waited for permission.,,Est. Advanced,Est. Low
erosion,noun,"the process by which the surface of something is gradually destroyed through the action of wind, rain, etc.",The slow erosion of civil discourse threatens democratic institutions.,,Est. Medium,Est. Mid
compromise,noun,to weaken/damage OR mutual agreement,The leak could compromise the building's integrity.,Alt: Can also mean mutual agreement through concession.,Est. Advanced,Est. Low
sneer,verb,"mock, to show that you have no respect for somebody by the expression on your face or by the way you speak n. an unpleasant look, smile or comment that shows you do not respect somebody/something",His sneering dismissal of the proposal revealed his closed mind.,,Est. Core,Est. High
bristle,noun,a short stiff hair v. to stand up on the back and neck because the animal is frightened or angry,The dog's hackles bristled at the stranger's approach.,,Est. Medium,Est. Mid
brood,verb,"to think a lot about something that makes you annoyed, anxious or upset","Rather than brood over failures, successful people analyze and move forward.",,Est. Core,Est. High
savage,adjective,aggressive and violent,The savage critique destroyed the young artist's confidence for years.,barbarous; barbarian; uncivilized,Est. Medium,Est. Mid
rebelliousness,noun,"being unwilling to obey rules or follow generally accepted standards of behaviour, dress, etc",Her teenage rebelliousness evolved into social activism.,,Est. Advanced,Est. Low
conservatory,noun,a school or college at which people are trained in music and theatre,"After high school, she studied at a prestigious conservatory.",,Est. Advanced,Est. Low
attachment,noun,a feeling of love for somebody/something,Infants develop attachment to their primary caregivers.,,Est. Advanced,Est. Low
excavation,noun,the activity of digging in the ground to look for old buildings or objects that have been buried for a long time,The excavation revealed artifacts from three different civilizations.,,Est. Advanced,Est. Low
bombard,verb,to attack a place by firing large guns at it or dropping bombs on it continuously,Reporters bombarded the representative with difficult questions.,,Est. Medium,Est. Mid
libel,noun,the act of printing a statement about somebody that is not true and that gives people a bad opinion of them v. slander,The newspaper retracted the story to avoid libel charges.,,Est. Core,Est. High
parasite,noun,a small animal or plant that lives on or inside another animal or plant and gets its food,Mistletoe is a parasite that grows on oak trees.,,Est. Medium,Est. Mid
bureaucracy,noun,a system of government in which most of the important decisions are taken by state officials rather than by elected representatives. excessively complicated administrative procedure,Excessive bureaucracy prevented quick response to the crisis.,,Est. Advanced,Est. Low
thrill,verb,cause to have a sudden feeling of excitement and pleasure,The discovery thrilled researchers who had worked decades on the problem.,,Est. Medium,Est. Mid
conjecture,verb,guess,What began as wild conjecture became accepted theory after evidence emerged.,,Est. Advanced,Est. Low
herd,noun,a group of animals of the same type that live and feed together,The rancher moved his herd to fresh pastures.,,Est. Core,Est. High
hoard,verb,"to collect and keep large amounts of food, money, etc., often secretly n. a collection of money, food, valuable objects, etc., especially one that somebody keeps in a secret place",Those who hoard knowledge rather than share it impede progress.,,Est. Core,Est. High
pool,noun,to combine resources OR a body of water,Investors pooled their resources for the project.,Alt: Can also mean a body of water.,Est. Core,Est. High
protest,verb,"to say or do something to show that you disagree with something, especially publicly","When peaceful protest failed, citizens turned to the courts.",,Est. Medium,Est. Mid
self-conscious,adjective,nervous or embarrassed about your appearance or what other people think of you,His self-conscious behavior revealed his discomfort with attention.,shy; awkward,Est. Advanced,Est. Low
eclipse,verb,to surpass OR astronomical event,Her achievements eclipse those of her predecessors.,surpass; overshadow; obscure,Est. Medium,Est. Mid
sage,noun,a very wise person,The sage is essential for ecosystem balance.,,Est. Core,Est. High
amnesty,noun,the act of an authority by which pardon is granted to a large group of individuals v. to pardon officially often before a trial or conviction,The amnesty inspired a new artistic movement.,,Est. Medium,Est. Mid
ramble,noun,a long walk for pleasure,The team's ramble determined the championship outcome.,,Est. Medium,Est. Mid
lush,adjective,growing thickly and strongly in a way that is attractive,The lush artifact revealed ancient practices.,,Est. Core,Est. High
prohibition,noun,"the act of stopping something being done or used, especially by law",Understanding the prohibition helps improve patient care.,,Est. Advanced,Est. Low
intuition,noun,the ability to know something by using your feelings rather than considering the facts,The intuition affected quarterly earnings.,,Est. Advanced,Est. Low
swab,noun,"a piece of soft material used by a doctor, nurse, etc. for cleaning wounds or taking a sample",Scientists studied the swab under controlled conditions.,,Est. Core,Est. High
coincide,verb,to take place at the same time,Teachers coincide student progress throughout the semester.,,Est. Medium,Est. Mid
judgement,noun,the ability to make sensible decisions,The judgement influenced voter turnout.,,Est. Advanced,Est. Low
concoct,verb,"to make something, especially food or drink, by mixing different things",She learned to concoct her daily routine.,,Est. Medium,Est. Mid
congenial,adjective,pleasant because it suits your character,The congenial design won industry awards.,,Est. Advanced,Est. Low
exile,noun,"a person who chooses, or is forced, to live away",The exile is essential for ecosystem balance.,,Est. Core,Est. High
denounce,verb,"to strongly criticize somebody/something that you think is wrong, illegal, etc.",The artist chose to denounce traditional techniques.,,Est. Medium,Est. Mid
prelude,noun,"a short piece of music, especially an introduction to a longer piece",The team's prelude determined the championship outcome.,,Est. Medium,Est. Mid
bitterness,noun,angry and unhappy feelings caused by the belief that you have been treated unfairly,The bitterness marked a turning point in civilization.,,Est. Advanced,Est. Low
govern,verb,"conduct the policy, actions, and affairs of with authority",Doctors govern treatment based on test results.,,Est. Medium,Est. Mid
feint,noun,something feigned,The feint affected quarterly earnings.,,Est. Core,Est. High
taboo,noun,"a cultural or religious custom that does not allow people to do, use or talk about a particular thing",Scientists studied the taboo under controlled conditions.,,Est. Core,Est. High
anatomy,noun,structural makeup especially of an organism,The anatomy plays a crucial role in student development.,,Est. Medium,Est. Mid
localize,verb,to find out where something is,The senator will localize the proposed legislation.,,Est. Medium,Est. Mid
venom,noun,"the poisonous liquid that some snakes, spiders, etc. produce when they bite or sting you",The venom made everyday tasks easier.,,Est. Core,Est. High
tally,noun,"a record of the number or amount of something, especially one that you can keep adding to v. to calculate the total number, cost, etc. of something",This tally represents a breakthrough in computing.,,Est. Core,Est. High
warrant,verb,justify,Animals warrant when environmental conditions change.,,Est. Medium,Est. Mid
stitch,verb,"to use a needle and thread to repair, join, or decorate pieces of cloth n. a loop of thread resulting",The artist chose to stitch traditional techniques.,,Est. Medium,Est. Mid
temper,verb,to moderate or tone down,The coach tempered his criticism with encouraging words.,,Est. Medium,Est. Mid
clutch,noun,"a group of people, animals or things",The clutch marked a turning point in civilization.,,Est. Medium,Est. Mid
assimilate,verb,absorb and integrate into a wider society or culture,Doctors assimilate treatment based on test results.,,Est. Advanced,Est. Low
extenuating,adjective,tending to lessen the real or apparent seriousness of something,The extenuating proposal impressed investors.,,Est. Advanced,Est. Low
apprentice,noun,young person who works for an employer for a fixed period of time in order to learn the particular skills needed in their job v. to make somebody an apprentice,Scientists studied the apprentice under controlled conditions.,,Est. Advanced,Est. Low
speculate,verb,form a theory or conjecture about a subject without firm evidence,Teachers speculate student progress throughout the semester.,,Est. Advanced,Est. Low
convergent,adjective,becoming more similar or the same,The convergent policy gained bipartisan support.,,Est. Advanced,Est. Low
looming,adjective,seemingly about to happen and regarded as ominous or worrying,His looming attitude made him popular.,,Est. Medium,Est. Mid
beam,noun,a line of light,This beam represents a breakthrough in computing.,,Est. Core,Est. High
repudiate,verb,"to refuse to accept something, reject",Animals repudiate when environmental conditions change.,,Est. Advanced,Est. Low
pique,verb,"to make somebody annoyed or upset n. annoyed or bitter feelings that you have, usually because you believe that you have not been treated with enough respect",The artist chose to pique traditional techniques.,,Est. Core,Est. High
concentration,noun,close attention,The team's concentration determined the championship outcome.,,Est. Advanced,Est. Low
insurgent,noun,a person who revolts against civil authority or an established government adj. rising in opposition to civil authority or established leadership,The insurgent marked a turning point in civilization.,,Est. Advanced,Est. Low
scour,verb,to search a place or thing carefully and completely in order to find somebody/something,Doctors scour treatment based on test results.,,Est. Core,Est. High
strain,noun,a force tending to pull or stretch something to an extreme or damaging degree,The strain affected quarterly earnings.,,Est. Medium,Est. Mid
arbitrary,adjective,"based on random choice or personal whim, rather than any reason or system",The arbitrary results confirmed the theory.,,Est. Advanced,Est. Low
sentiment,noun,"a feeling or an opinion, especially one based on emotions",The sentiment plays a crucial role in student development.,,Est. Advanced,Est. Low
rotate,verb,move or cause to move in a circle round an axis or centre,The senator will rotate the proposed legislation.,,Est. Medium,Est. Mid
forge,noun,a blacksmith's workshop,The forge made everyday tasks easier.,,Est. Core,Est. High
integration,noun,combining two or more things so that they work together,This integration represents a breakthrough in computing.,,Est. Advanced,Est. Low
propaganda,noun,"ideas or statements that may be false or present only one side of an argument that are used in order to gain support for a political leader, party, etc.",The propaganda is essential for ecosystem balance.,,Est. Advanced,Est. Low
cumulative,adjective,having a result that increases in strength or importance each time more of something is added,Critics praised the cumulative performance.,,Est. Advanced,Est. Low
fetish,noun,an object that some people worship because they believe that it has magic powers,The team's fetish determined the championship outcome.,,Est. Medium,Est. Mid
nationality,noun,the legal status of belonging to a particular nation,The nationality marked a turning point in civilization.,,Est. Advanced,Est. Low
rustic,adjective,rural,The rustic symptoms indicated a rare condition.,,Est. Medium,Est. Mid
permeate,verb,to spread to every part of an object or a place,The company decided to permeate its expansion plans.,,Est. Medium,Est. Mid
ingenious,adjective,very suitable for a particular purpose and resulting,The ingenious results confirmed the theory.,,Est. Advanced,Est. Low
minimize,verb,"to reduce something, especially something bad, to the lowest possible level",Teachers minimize student progress throughout the semester.,,Est. Medium,Est. Mid
legion,noun,"a large group of soldiers that forms part of an army, especially the one that existed in ancient Rome",The legion influenced voter turnout.,,Est. Medium,Est. Mid
import,noun,"the meaning of something, especially when it is not immediately clear",The import made everyday tasks easier.,,Est. Medium,Est. Mid
solace,verb,comfort,He sought solace in nature after his loss.,,Est. Medium,Est. Mid
acute,adjective,very serious or severe,The acute landscape attracted tourists.,,Est. Core,Est. High
discreet,adjective,"careful in what you say or do, in order to keep something secret or to avoid causing difficulty for somebody or making them feel embarrassed",Critics praised the discreet performance.,,Est. Medium,Est. Mid
complementary,adjective,"people or things that are complementary are different but together form a useful or attractive combination of skills, qualities or physical features",The two drugs have complementary effects in treating the disease.,,Est. Advanced,Est. Low
decadence,noun,"behaviour, attitudes, etc. that show a fall in standards, especially moral ones, and an interest in pleasure and fun rather than more serious things",The decadence marked a turning point in civilization.,,Est. Advanced,Est. Low
uneven,adjective,"not level, smooth or flat",The uneven symptoms indicated a rare condition.,,Est. Medium,Est. Mid
expedient,adjective,suitable for achieving a particular end in a given circumstance n. something done or used to achieve a particular end usually quickly or temporarily,The expedient proposal impressed investors.,,Est. Advanced,Est. Low
subscription,noun,"an arrangement to receive something, typically a publication, regularly by paying in advance",Scientists studied the subscription under controlled conditions.,,Est. Advanced,Est. Low
begrudge,verb,to feel unhappy that somebody has something because you do not think that they deserve it,Teachers begrudge student progress throughout the semester.,,Est. Medium,Est. Mid
shed,verb,"let fall, let drop",The investigation shed light on corruption that reached the highest levels.,,Est. Core,Est. High
axis,noun,a straight central part in a structure to which other parts are connected,The axis made everyday tasks easier.,,Est. Core,Est. High
imperative,adjective,very important and needing immediate attention or action,The imperative design won industry awards.,,Est. Advanced,Est. Low
contract,verb,to decrease in size OR a binding agreement,Metals contract when exposed to cold temperatures.,Alt: Can also mean a legal agreement between parties.,Est. Medium,Est. Mid
deluge,verb,flood,The artist chose to deluge traditional techniques.,,Est. Medium,Est. Mid
resolve,verb,to find an acceptable solution to a problem or difficulty,Diplomats worked through three nights to resolve the crisis before markets opened.,,Est. Medium,Est. Mid
prodigy,noun,a young person whose intelligence or skill is unusually good for their age,The prodigy marked a turning point in civilization.,,Est. Medium,Est. Mid
vampire,noun,a dead person who leaves their grave at night to bite living people and drink their blood,Understanding the vampire helps improve patient care.,,Est. Medium,Est. Mid
rabid,adjective,violent or extreme,The rabid proposal impressed investors.,,Est. Core,Est. High
polemic,noun,the practice or skill of arguing strongly for or against something/ somebody adj. engaged in or addicted to polemics,Scientists studied the polemic under controlled conditions.,,Est. Medium,Est. Mid
prescribe,verb,state authoritatively or as a rule that should be carried out,Teachers prescribe student progress throughout the semester.,,Est. Advanced,Est. Low
confer,verb,to discuss something with somebody,The judges will confer privately before announcing their decision.,,Est. Medium,Est. Mid
sting,noun,"a sharp or stinging element, force, or quality",The sting made everyday tasks easier.,,Est. Core,Est. High
substitute,noun,a person or thing that you use or have instead of the one you normally use or have v. to take the place of,This substitute represents a breakthrough in computing.,,Est. Advanced,Est. Low
testament,noun,a tangible proof or tribute,The testament is essential for ecosystem balance.,,Est. Advanced,Est. Low
gaunt,adjective,"very thin, usually because of illness, not having enough food, or worry",Critics praised the gaunt performance.,thin; lean; meager,Est. Core,Est. High
faculty,noun,any of the physical or mental abilities that a person is born with,The team's faculty determined the championship outcome.,,Est. Medium,Est. Mid
turbulent,adjective,changing direction suddenly and violently,The turbulent artifact revealed ancient practices.,,Est. Advanced,Est. Low
ranger,noun,"a person whose job is to take care of a park, a forest or an area of countryside",Understanding the ranger helps improve patient care.,,Est. Medium,Est. Mid
repression,noun,using force to control a group of people and limit their freedom,The repression affected quarterly earnings.,,Est. Advanced,Est. Low
falter,verb,to speak or behave in a way that shows that you are not confident,"Just as victory seemed certain, their confidence faltered and they lost.",,Est. Medium,Est. Mid
lurid,adjective,presented in a way that is intended to shock,Her lurid approach engaged students.,,Est. Core,Est. High
territorial,adjective,guarding and defending an area of land that they believe to be their own,The territorial policy gained bipartisan support.,,Est. Advanced,Est. Low
mutual,adjective,experienced or done by each of two or more parties towards the other or others,His mutual attitude made him popular.,,Est. Medium,Est. Mid
expire,verb,to be no longer legally acceptable because the period of time for which it could be used has ended,Engineers expire the system for optimal performance.,,Est. Medium,Est. Mid
phenomenon,noun,"a fact or an event in nature or society, especially one that is not fully understood",The phenomenon is essential for ecosystem balance.,,Est. Advanced,Est. Low
unilateral,adjective,"done by or affecting only one person, group or country involved in a situation without the agreement of the others",Critics praised the unilateral performance.,,Est. Advanced,Est. Low
materialism,noun,"the belief that money, possessions and physical comforts are more important than spiritual values",The team's materialism determined the championship outcome.,,Est. Advanced,Est. Low
accord,noun,a formal agreement,The accord marked a turning point in civilization.,,Est. Medium,Est. Mid
reserve,noun,a lack of warmth or openness in manner or expression,Understanding the reserve helps improve patient care.,,Est. Medium,Est. Mid
maladjusted,adjective,poorly or inadequately adjusted,The maladjusted proposal impressed investors.,,Est. Advanced,Est. Low
utilitarian,adjective,pratical,The utilitarian results confirmed the theory.,,Est. Advanced,Est. Low
mimic,verb,"to copy the way somebody speaks, moves, behaves, etc., especially in order to make other people laugh",Parrots can mimic human speech remarkably well.,,Est. Medium,Est. Mid
stupor,noun,"a state in which you are unable to think, hear, etc. clearly, especially because you have drunk too much alcohol, taken drugs or had a shock",The stupor influenced voter turnout.,,Est. Medium,Est. Mid
epithet,noun,a characterizing word or phrase accompanying or occurring in place of the name of a person or thing,The epithet made everyday tasks easier.,,Est. Medium,Est. Mid
quarry,noun,"an open excavation usually for obtaining building stone, slate, or limestone",This quarry represents a breakthrough in computing.,,Est. Medium,Est. Mid
aspirant,adjective,seeking to attain a desired position or status n. a person with a strong desire to achieve a position of importance or to win a competition,The aspirant landscape attracted tourists.,,Est. Medium,Est. Mid
mischievous,adjective,"enjoying playing tricks and annoying people, naughty",Critics praised the mischievous performance.,,Est. Advanced,Est. Low
respite,noun,a short break or escape,The team's respite determined the championship outcome.,,Est. Medium,Est. Mid
flourish,verb,thrive,Democracy flourishes only when citizens actively participate.,,Est. Medium,Est. Mid
pilgrimage,noun,a journey to a holy place for religious reasons,Understanding the pilgrimage helps improve patient care.,,Est. Advanced,Est. Low
stain,verb,mark or discolour with something that is not easily removed,The scandal left a permanent stain on his reputation.,,Est. Core,Est. High
intimate,adjective,having a close and friendly relationship,The intimate results confirmed the theory.,,Est. Medium,Est. Mid
revolt,noun,a renouncing of allegiance,The revolt plays a crucial role in student development.,,Est. Medium,Est. Mid
opaque,adjective,not clear enough to,The opaque policy gained bipartisan support.,,Est. Medium,Est. Mid
bust,verb,break,She learned to bust her daily routine.,,Est. Core,Est. High
inhibit,verb,to prevent something,Engineers inhibit the system for optimal performance.,,Est. Medium,Est. Mid
sacred,adjective,connected with God or a god,The sacred landscape attracted tourists.,,Est. Medium,Est. Mid
incentive,noun,stimulus,The incentive inspired a new artistic movement.,,Est. Advanced,Est. Low
chagrin,noun,"disquietude or distress of mind caused by humiliation, disappointment, or failure vt. to vex or unsettle by disappointing or humiliating",The team's chagrin determined the championship outcome.,,Est. Medium,Est. Mid
embellish,verb,to make something more beautiful by adding decoration to it,Witnesses who embellish their testimony risk perjury charges.,,Est. Advanced,Est. Low
reciprocate,verb,to behave or feel towards somebody in the same way as they behave or feel towards you,Countries that reciprocate trade agreements benefit mutually.,,Est. Advanced,Est. Low
dismantle,verb,to take apart a machine or structure so that it is in separate pieces,The company decided to dismantle its expansion plans.,,Est. Advanced,Est. Low
concede,verb,"to admit that something is true, logical, etc. after first denying it or resisting it",Researchers concede the hypothesis through experimentation.,,Est. Medium,Est. Mid
delicate,adjective,"easily damaged or broken, fragile",Her delicate approach engaged students.,,Est. Medium,Est. Mid
hiccup,noun,"a sharp, usually repeated, sound made in the throat, that is caused by a sudden movement of the diaphragm and that you cannot control",The hiccup influenced voter turnout.,,Est. Medium,Est. Mid
postulate,verb,"suggest or assume the existence, fact, or truth of as a basis for reasoning, discussion, or belief",Darwin postulated evolution before DNA evidence could prove it.,,Est. Advanced,Est. Low
cant,noun,the expression of conventional or trite opinions or sentiments,This cant represents a breakthrough in computing.,,Est. Core,Est. High
litter,noun,a number of young animals born to an animal at one time,The litter is essential for ecosystem balance.,,Est. Medium,Est. Mid
renounce,verb,give up,The artist chose to renounce traditional techniques.,,Est. Medium,Est. Mid
mandate,noun,an official order or commission to do something v. give authority to act in a certain way,The team's mandate determined the championship outcome.,,Est. Medium,Est. Mid
embryo,noun,an unborn or unhatched offspring in the process of development,The embryo marked a turning point in civilization.,,Est. Medium,Est. Mid
latitude,noun,"the distance of a place north or south of the equator, measured in degrees",Understanding the latitude helps improve patient care.,,Est. Medium,Est. Mid
peremptory,adjective,expecting to be obeyed immediately and without questioning or refusing,The peremptory proposal impressed investors.,,Est. Advanced,Est. Low
accelerator,noun,a person or thing that causes something to happen or develop more quickly,Scientists studied the accelerator under controlled conditions.,,Est. Advanced,Est. Low
invalidate,verb,"to prove that an idea, a story, an argument, etc. is wrong",Teachers invalidate student progress throughout the semester.,,Est. Advanced,Est. Low
retrieve,verb,to bring or get something back,The senator will retrieve the proposed legislation.,,Est. Medium,Est. Mid
mortal,noun,"a human being subject to death, as opposed to a divine being adj. subject to death",The mortal made everyday tasks easier.,,Est. Medium,Est. Mid
hoax,noun,"an act intended to make somebody believe something that is not true, especially something unpleasant",This hoax represents a breakthrough in computing.,,Est. Core,Est. High
indulgent,adjective,tending to allow somebody to have or do whatever they want,The indulgent landscape attracted tourists.,,Est. Advanced,Est. Low
galvanize,adjective,to make somebody take action by shocking them or by making them excited,Critics praised the galvanize performance.,,Est. Advanced,Est. Low
frivolous,adjective,"silly or funny, especially when such behaviour is not suitable",The team's frivolous strategy secured victory.,,Est. Advanced,Est. Low
potential,adjective,that can develop into something or be developed in the future n. the possibility of something happening or being developed or used,The potential artifact revealed ancient practices.,,Est. Advanced,Est. Low
shabby,adjective,in poor condition because they have been used a lot,The shabby symptoms indicated a rare condition.,,Est. Medium,Est. Mid
literal,adjective,"being the most basic meaning of a word or phrase, rather than an extended meaning",The literal proposal impressed investors.,,Est. Medium,Est. Mid
disdain,noun,"contempt, scorn v. consider to be unworthy of one's consideration",Scientists studied the disdain under controlled conditions.,,Est. Medium,Est. Mid
transparent,adjective,allowing light to pass through so that objects behind can be distinctly seen,Her transparent approach engaged students.,,Est. Advanced,Est. Low
merit,noun,a praiseworthy quality,The merit influenced voter turnout.,,Est. Core,Est. High
compensatory,adjective,"intended to make up for something such as damage, loss, injury, etc",His compensatory attitude made him popular.,,Est. Advanced,Est. Low
vulnerability,noun,"the quality or state of being exposed to the possibility of being attacked or harmed, either physically or emotionally",This vulnerability represents a breakthrough in computing.,,Est. Advanced,Est. Low
pattern,noun,a form or model proposed for imitation,The pattern is essential for ecosystem balance.,template (); motif (),Est. Medium,Est. Mid
nonentity,noun,something that does not exist or exists only in the imagination,The nonentity inspired a new artistic movement.,,Est. Advanced,Est. Low
geometric,adjective,of geometry,The team's geometric strategy secured victory.,,Est. Advanced,Est. Low
fabricate,verb,to invent false information in order to trick people,Historians fabricate primary sources for accuracy.,,Est. Advanced,Est. Low
emissary,noun,envoy,Understanding the emissary helps improve patient care.,,Est. Medium,Est. Mid
regulate,verb,control or maintain the rate or speed of so that it operates properly,The company decided to regulate its expansion plans.,,Est. Medium,Est. Mid
virulent,adjective,showing strong negative and bitter feelings,The virulent results confirmed the theory.,,Est. Medium,Est. Mid
fray,noun,"a usually disorderly or protracted fight, struggle, or dispute v. to wear by rubbing",The fray plays a crucial role in student development.,,Est. Core,Est. High
popularize,verb,to make a lot of people know about something and enjoy it,The senator will popularize the proposed legislation.,,Est. Advanced,Est. Low
flashback,noun,"a part of a film, play, etc. that shows a scene that happened earlier in time",The flashback made everyday tasks easier.,,Est. Advanced,Est. Low
incubation,noun,sitting on in order to keep them warm and bring them to hatching,This incubation represents a breakthrough in computing.,,Est. Advanced,Est. Low
drill,noun,a tool or machine with a pointed end for making holes,The drill is essential for ecosystem balance.,,Est. Core,Est. High
wage,noun,"a fixed regular payment earned for work or services, typically paid on a daily or weekly basis v. carry on",The wage inspired a new artistic movement.,,Est. Core,Est. High
titular,adjective,"the titular character of a book, play, film, etc. is the one mentioned in the title",The team's titular strategy secured victory.,,Est. Medium,Est. Mid
circulation,noun,"movement to and fro or around something, especially that of fluid in a closed system",The circulation marked a turning point in civilization.,,Est. Advanced,Est. Low
diminish,verb,"to become or make something become smaller, weaker, etc.",Doctors diminish treatment based on test results.,,Est. Medium,Est. Mid
topography,noun,"the physical features of an area of land, especially the position of its rivers, mountains, etc.",The topography affected quarterly earnings.,,Est. Advanced,Est. Low
catalyst,noun,a substance that makes a chemical reaction happen faster without being changed itself,Scientists studied the catalyst under controlled conditions.,,Est. Medium,Est. Mid
defuse,verb,to stop a possibly dangerous or difficult situation,Teachers defuse student progress throughout the semester.,,Est. Medium,Est. Mid
mammoth,adjective,"of very great size n. an animal like a large elephant covered with hair, that lived thousands of years ago and is now extinct",The mammoth policy gained bipartisan support.,,Est. Medium,Est. Mid
haunted,adjective,believed to be visited by ghosts,His haunted attitude made him popular.,,Est. Medium,Est. Mid
lavish,adjective,"large in amount, or impressive, and usually costing a lot of money",The lavish design won industry awards.,,Est. Medium,Est. Mid
guise,noun,"a way in which somebody/something appears, often in a way that is different",The guise is essential for ecosystem balance.,,Est. Core,Est. High
pigment,noun,the natural colouring matter of animal or plant tissue,The pigment inspired a new artistic movement.,,Est. Medium,Est. Mid
correspondenc,noun,"the letters, emails, etc. a person sends and receives",The team's correspondenc determined the championship outcome.,,Est. Advanced,Est. Low
renovation,noun,"the act or process of repairing and painting an old building, piece of furniture, etc. so that it is in good condition again",The renovation marked a turning point in civilization.,,Est. Advanced,Est. Low
solidarity,noun,"unity or agreement of feeling or action, especially among individuals with a common interest",Understanding the solidarity helps improve patient care.,,Est. Advanced,Est. Low
perverse,adjective,"showing a deliberate and determined desire to behave in a way that most people think is wrong, unacceptable or unreasonable",The perverse proposal impressed investors.,,Est. Medium,Est. Mid
chronicle,noun,a written record of events in the order in which they happened v. record in a factual and detailed way,Scientists studied the chronicle under controlled conditions.,,Est. Advanced,Est. Low
saga,noun,a long traditional story about adventures and brave acts,The saga plays a crucial role in student development.,,Est. Core,Est. High
equivalent,adjective,"equal in value, amount, meaning, importance, etc. n. a thing, amount, word, etc. that is equal in value, meaning or purpose",The equivalent policy gained bipartisan support.,,Est. Advanced,Est. Low
vain,adjective,"too proud of your own appearance, abilities or achievements",His vain attitude made him popular.,,Est. Core,Est. High
scout,noun,"lookout, watchman",This scout represents a breakthrough in computing.,,Est. Core,Est. High
barometer,noun,an instrument for determining the pressure of the atmosphere,The barometer is essential for ecosystem balance.,,Est. Advanced,Est. Low
venture,noun,a business enterprise,The venture inspired a new artistic movement.,,Est. Medium,Est. Mid
