Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
heuristic,adjective,"teaching or education encourages you to learn by discovering things for yourself n. a method of solving problems by finding practical ways of dealing with them, learning",Students learned through heuristic methods rather than rote memorization.,,Advanced,Low
rally,noun,a large public meeting v. to come together or bring people together in order to help or support somebody/something,Citizens organized a rally to support the proposed library funding.,,Core,High
mock,verb,"make fun of, laugh at somebody/something in an unkind way, especially by copying what they say or do adj. sham, not sincere or real",Bullies often mock those who seem different or vulnerable.,,Core,High
taint,noun,the effect of something bad or unpleasant that damages or harms the quality of somebody/ something vt. to damage or harm the quality of something or the opinion that people have of somebody/something,Rumors of corruption left a taint on the senator's reputation.,,Core,High
ascetic,adjective,"not allowing yourself physical pleasures, especially for religious reasons",The monk's ascetic lifestyle excluded all unnecessary comforts.,,Medium,Mid
initiative,noun,the ability to assess and initiate things independently,Her initiative in organizing the fundraiser impressed the school board.,,Advanced,Low
erosion,noun,"the process by which the surface of something is gradually destroyed through the action of wind, rain, etc.",Coastal erosion threatens several waterfront properties each year.,,Medium,Mid
compromise,noun,"an agreement made between two people or groups in which each side gives up some of the things they want v. undermine, weaken, damage",Both sides reached a compromise after hours of negotiation.,,Advanced,Low
sneer,verb,"mock, to show that you have no respect for somebody by the expression on your face or by the way you speak n. an unpleasant look, smile or comment that shows you do not respect somebody/something",Critics sneered at the amateur theater production.,,Core,High
bristle,noun,a short stiff hair v. to stand up on the back and neck because the animal is frightened or angry,The brush's bristles were too stiff for delicate fabrics.,,Medium,Mid
brood,verb,"to think a lot about something that makes you annoyed, anxious or upset","After failing the exam, he would brood in his room for hours.",,Core,High
savage,adjective,aggressive and violent,The savage storm destroyed homes along the coastline.,barbarous; barbarian; uncivilized,Medium,Mid
rebelliousness,noun,"being unwilling to obey rules or follow generally accepted standards of behaviour, dress, etc",Adolescent rebelliousness often stems from a desire for independence.,,Advanced,Low
conservatory,noun,a school or college at which people are trained in music and theatre,She studied piano at the local conservatory for eight years.,,Advanced,Low
attachment,noun,a feeling of love for somebody/something,The child's attachment to her favorite blanket was obvious.,,Advanced,Low
excavation,noun,the activity of digging in the ground to look for old buildings or objects that have been buried for a long time,The archaeological excavation revealed pottery from ancient times.,,Advanced,Low
bombard,verb,to attack a place by firing large guns at it or dropping bombs on it continuously,Artillery units bombarded enemy positions throughout the night.,,Medium,Mid
libel,noun,the act of printing a statement about somebody that is not true and that gives people a bad opinion of them v. slander,Publishing false accusations constitutes libel under the law.,,Core,High
parasite,noun,a small animal or plant that lives on or inside another animal or plant and gets its food,The tapeworm is a parasite that absorbs nutrients from its host.,,Medium,Mid
bureaucracy,noun,a system of government in which most of the important decisions are taken by state officials rather than by elected representatives. excessively complicated administrative procedure,Excessive bureaucracy delays the processing of building permits.,,Advanced,Low
thrill,verb,cause to have a sudden feeling of excitement and pleasure,The unexpected victory thrilled the underdog team's supporters.,,Medium,Mid
conjecture,verb,guess,"Without concrete evidence, historians can only conjecture about ancient customs.",,Advanced,Low
herd,noun,a group of animals of the same type that live and feed together,A herd of cattle grazed peacefully in the meadow.,,Core,High
hoard,verb,"to collect and keep large amounts of food, money, etc., often secretly n. a collection of money, food, valuable objects, etc., especially one that somebody keeps in a secret place","During shortages, some shoppers hoard essential supplies.",,Core,High
pool,noun,a supply of things or money that is shared by a group of people v. put into a common fund,Investors created a pool of funds to support local startups.,,Core,High
protest,verb,"to say or do something to show that you disagree with something, especially publicly",Students gathered to protest the sudden tuition increase.,,Medium,Mid
self-conscious,adjective,nervous or embarrassed about your appearance or what other people think of you,Many teenagers feel self-conscious about their changing bodies.,shy; awkward,Advanced,Low
eclipse,verb,obscure the light,Digital sales now eclipse traditional retail in many sectors.,surpass; overshadow; obscure,Medium,Mid
sage,noun,a very wise person,Evidence clearly supported the sage.,,Core,High
amnesty,noun,the act of an authority by which pardon is granted to a large group of individuals v. to pardon officially often before a trial or conviction,The amnesty proved more complex than initially anticipated.,,Medium,Mid
ramble,noun,a long walk for pleasure,Each ramble required separate documentation and approval.,,Medium,Mid
lush,adjective,growing thickly and strongly in a way that is attractive,The lush results confirmed initial predictions.,,Core,High
prohibition,noun,"the act of stopping something being done or used, especially by law",Success depends on understanding the prohibition.,,Advanced,Low
intuition,noun,the ability to know something by using your feelings rather than considering the facts,Competition revealed each participant's intuition.,,Advanced,Low
swab,noun,"a piece of soft material used by a doctor, nurse, etc. for cleaning wounds or taking a sample",The swab became apparent during testing.,,Core,High
coincide,verb,to take place at the same time,Companies coincide customer feedback to improve products.,,Medium,Mid
judgement,noun,the ability to make sensible decisions,The team's judgement improved over time.,,Advanced,Low
concoct,verb,"to make something, especially food or drink, by mixing different things",Students concoct their study habits before finals.,,Medium,Mid
congenial,adjective,pleasant because it suits your character,Weather remained congenial during the expedition.,,Advanced,Low
exile,noun,"a person who chooses, or is forced, to live away",The exile influenced the committee's final decision.,,Core,High
denounce,verb,"to strongly criticize somebody/something that you think is wrong, illegal, etc.",Engineers denounce the bridge design after stress tests.,,Medium,Mid
prelude,noun,"a short piece of music, especially an introduction to a longer piece",The prelude affected production schedules throughout the quarter.,,Medium,Mid
bitterness,noun,angry and unhappy feelings caused by the belief that you have been treated unfairly,The research bitterness took three years to complete.,,Advanced,Low
govern,verb,"conduct the policy, actions, and affairs of with authority",Historians govern the accuracy of ancient texts.,,Medium,Mid
feint,noun,something feigned,The feint proved more complex than initially anticipated.,,Core,High
taboo,noun,"a cultural or religious custom that does not allow people to do, use or talk about a particular thing",Each taboo required separate documentation and approval.,,Core,High
anatomy,noun,structural makeup especially of an organism,Researchers studied the anatomy under laboratory conditions.,,Medium,Mid
localize,verb,to find out where something is,Administrators localize the new policy immediately.,,Medium,Mid
venom,noun,"the poisonous liquid that some snakes, spiders, etc. produce when they bite or sting you",Competition revealed each participant's venom.,,Core,High
tally,noun,"a record of the number or amount of something, especially one that you can keep adding to v. to calculate the total number, cost, etc. of something",The tally became apparent during testing.,,Core,High
warrant,verb,justify,Companies warrant customer feedback to improve products.,,Medium,Mid
stitch,verb,"to use a needle and thread to repair, join, or decorate pieces of cloth n. a loop of thread resulting",Doctors stitch treatment based on patient response.,,Medium,Mid
temper,verb,to make something less severe by adding something that has the opposite effect n. a person's state of mind seen in terms of their being angry or calm,Students temper their study habits before finals.,,Medium,Mid
clutch,noun,"a group of people, animals or things",The clutch emerged as a critical factor.,,Medium,Mid
assimilate,verb,absorb and integrate into a wider society or culture,Recent studies assimilate previous assumptions about climate patterns.,,Advanced,Low
extenuating,adjective,tending to lessen the real or apparent seriousness of something,The extenuating response surprised most observers.,,Advanced,Low
apprentice,noun,young person who works for an employer for a fixed period of time in order to learn the particular skills needed in their job v. to make somebody an apprentice,The apprentice affected production schedules throughout the quarter.,,Advanced,Low
speculate,verb,form a theory or conjecture about a subject without firm evidence,Museums speculate artifacts from private collectors.,,Advanced,Low
convergent,adjective,becoming more similar or the same,The convergent situation demanded immediate action.,,Advanced,Low
looming,adjective,seemingly about to happen and regarded as ominous or worrying,The team showed looming improvement over time.,,Medium,Mid
beam,noun,a line of light,Each beam required separate documentation and approval.,,Core,High
repudiate,verb,"to refuse to accept something, reject",Scientists repudiate their hypothesis through experimentation.,,Advanced,Low
pique,verb,"to make somebody annoyed or upset n. annoyed or bitter feelings that you have, usually because you believe that you have not been treated with enough respect",Administrators pique the new policy immediately.,,Core,High
concentration,noun,close attention,Competition revealed each participant's concentration.,,Advanced,Low
insurgent,noun,a person who revolts against civil authority or an established government adj. rising in opposition to civil authority or established leadership,The insurgent became apparent during testing.,,Advanced,Low
scour,verb,to search a place or thing carefully and completely in order to find somebody/something,Companies scour customer feedback to improve products.,,Core,High
strain,noun,a force tending to pull or stretch something to an extreme or damaging degree,The team's strain improved over time.,,Medium,Mid
arbitrary,adjective,"based on random choice or personal whim, rather than any reason or system",The arbitrary evidence supported the theory.,,Advanced,Low
sentiment,noun,"a feeling or an opinion, especially one based on emotions",The sentiment emerged as a critical factor.,,Advanced,Low
rotate,verb,move or cause to move in a circle round an axis or centre,Recent studies rotate previous assumptions about climate patterns.,,Medium,Mid
forge,noun,a blacksmith's workshop,Analysis revealed a significant forge in the data.,,Core,High
integration,noun,combining two or more things so that they work together,The integration affected production schedules throughout the quarter.,,Advanced,Low
propaganda,noun,"ideas or statements that may be false or present only one side of an argument that are used in order to gain support for a political leader, party, etc.",The research propaganda took three years to complete.,,Advanced,Low
cumulative,adjective,having a result that increases in strength or importance each time more of something is added,The cumulative situation demanded immediate action.,,Advanced,Low
fetish,noun,an object that some people worship because they believe that it has magic powers,The fetish proved more complex than initially anticipated.,,Medium,Mid
nationality,noun,the legal status of belonging to a particular nation,Each nationality required separate documentation and approval.,,Advanced,Low
rustic,adjective,rural,The rustic results confirmed initial predictions.,,Medium,Mid
permeate,verb,to spread to every part of an object or a place,Administrators permeate the new policy immediately.,,Medium,Mid
ingenious,adjective,very suitable for a particular purpose and resulting,The ingenious proposal gained widespread support.,,Advanced,Low
minimize,verb,"to reduce something, especially something bad, to the lowest possible level",Researchers minimize the data before publication.,,Medium,Mid
legion,noun,"a large group of soldiers that forms part of an army, especially the one that existed in ancient Rome",Budget constraints limited the legion.,,Medium,Mid
import,noun,"the meaning of something, especially when it is not immediately clear",The team's import improved over time.,,Medium,Mid
solace,verb,comfort,Music provided solace during her recovery from surgery.,,Medium,Mid
acute,adjective,very serious or severe,Weather remained acute during the expedition.,,Core,High
discreet,adjective,"careful in what you say or do, in order to keep something secret or to avoid causing difficulty for somebody or making them feel embarrassed",Her discreet approach solved the complex problem.,,Medium,Mid
complementary,adjective,"people or things that are complementary are different but together form a useful or attractive combination of skills, qualities or physical features",The restaurant offers complementary colors and flavors in each dish.,,Advanced,Low
decadence,noun,"behaviour, attitudes, etc. that show a fall in standards, especially moral ones, and an interest in pleasure and fun rather than more serious things",The decadence affected production schedules throughout the quarter.,,Advanced,Low
uneven,adjective,"not level, smooth or flat",The uneven conditions lasted several weeks.,,Medium,Mid
expedient,adjective,suitable for achieving a particular end in a given circumstance n. something done or used to achieve a particular end usually quickly or temporarily,The expedient situation demanded immediate action.,,Advanced,Low
subscription,noun,"an arrangement to receive something, typically a publication, regularly by paying in advance",The subscription proved more complex than initially anticipated.,,Advanced,Low
begrudge,verb,to feel unhappy that somebody has something because you do not think that they deserve it,Teachers begrudge different learning styles in lesson plans.,,Medium,Mid
shed,verb,"let fall, let drop",Deciduous trees shed their leaves before winter.,,Core,High
axis,noun,a straight central part in a structure to which other parts are connected,Success depends on understanding the axis.,,Core,High
imperative,adjective,very important and needing immediate attention or action,The imperative proposal gained widespread support.,,Advanced,Low
contract,verb,to become or make less or smaller,"Metal pipes contract in cold weather, sometimes causing breaks.",,Medium,Mid
deluge,verb,flood,Companies deluge customer feedback to improve products.,,Medium,Mid
resolve,verb,to find an acceptable solution to a problem or difficulty,Mediators helped resolve the dispute between neighbors.,,Medium,Mid
prodigy,noun,a young person whose intelligence or skill is unusually good for their age,Historical records documented the prodigy.,,Medium,Mid
vampire,noun,a dead person who leaves their grave at night to bite living people and drink their blood,The vampire emerged as a critical factor.,,Medium,Mid
rabid,adjective,violent or extreme,Her rabid approach solved the complex problem.,,Core,High
polemic,noun,the practice or skill of arguing strongly for or against something/ somebody adj. engaged in or addicted to polemics,Analysis revealed a significant polemic in the data.,,Medium,Mid
prescribe,verb,state authoritatively or as a rule that should be carried out,Financial advisors prescribe conservative investment strategies.,,Advanced,Low
confer,verb,to discuss something with somebody,Department heads will confer before announcing the new policy.,,Medium,Mid
sting,noun,"a sharp or stinging element, force, or quality",Evidence clearly supported the sting.,,Core,High
substitute,noun,a person or thing that you use or have instead of the one you normally use or have v. to take the place of,The substitute proved more complex than initially anticipated.,,Advanced,Low
testament,noun,a tangible proof or tribute,Each testament required separate documentation and approval.,,Advanced,Low
gaunt,adjective,"very thin, usually because of illness, not having enough food, or worry",The gaunt results confirmed initial predictions.,thin; lean; meager,Core,High
faculty,noun,any of the physical or mental abilities that a person is born with,Success depends on understanding the faculty.,,Medium,Mid
turbulent,adjective,changing direction suddenly and violently,The turbulent proposal gained widespread support.,,Advanced,Low
ranger,noun,"a person whose job is to take care of a park, a forest or an area of countryside",The ranger became apparent during testing.,,Medium,Mid
repression,noun,using force to control a group of people and limit their freedom,Budget constraints limited the repression.,,Advanced,Low
falter,verb,to speak or behave in a way that shows that you are not confident,The speaker's voice began to falter during the emotional tribute.,,Medium,Mid
lurid,adjective,presented in a way that is intended to shock,The lurid evidence supported the theory.,,Core,High
territorial,adjective,guarding and defending an area of land that they believe to be their own,Weather remained territorial during the expedition.,,Advanced,Low
mutual,adjective,experienced or done by each of two or more parties towards the other or others,Her mutual approach solved the complex problem.,,Medium,Mid
expire,verb,to be no longer legally acceptable because the period of time for which it could be used has ended,Engineers expire the bridge design after stress tests.,,Medium,Mid
phenomenon,noun,"a fact or an event in nature or society, especially one that is not fully understood",The phenomenon affected production schedules throughout the quarter.,,Advanced,Low
unilateral,adjective,"done by or affecting only one person, group or country involved in a situation without the agreement of the others",The unilateral conditions lasted several weeks.,,Advanced,Low
materialism,noun,"the belief that money, possessions and physical comforts are more important than spiritual values",Evidence clearly supported the materialism.,,Advanced,Low
accord,noun,a formal agreement,The accord proved more complex than initially anticipated.,,Medium,Mid
reserve,noun,a lack of warmth or openness in manner or expression,Each reserve required separate documentation and approval.,,Medium,Mid
maladjusted,adjective,poorly or inadequately adjusted,The maladjusted results confirmed initial predictions.,,Advanced,Low
utilitarian,adjective,pratical,Market conditions remained utilitarian throughout the year.,,Advanced,Low
mimic,verb,"to copy the way somebody speaks, moves, behaves, etc., especially in order to make other people laugh",Young children often mimic their older siblings' behavior.,,Medium,Mid
stupor,noun,"a state in which you are unable to think, hear, etc. clearly, especially because you have drunk too much alcohol, taken drugs or had a shock",The stupor became apparent during testing.,,Medium,Mid
epithet,noun,a characterizing word or phrase accompanying or occurring in place of the name of a person or thing,Budget constraints limited the epithet.,,Medium,Mid
quarry,noun,"an open excavation usually for obtaining building stone, slate, or limestone",The team's quarry improved over time.,,Medium,Mid
aspirant,adjective,seeking to attain a desired position or status n. a person with a strong desire to achieve a position of importance or to win a competition,The aspirant evidence supported the theory.,,Medium,Mid
mischievous,adjective,"enjoying playing tricks and annoying people, naughty",Weather remained mischievous during the expedition.,,Advanced,Low
respite,noun,a short break or escape,The respite influenced the committee's final decision.,,Medium,Mid
flourish,verb,thrive,Desert plants flourish despite minimal rainfall.,,Medium,Mid
pilgrimage,noun,a journey to a holy place for religious reasons,The pilgrimage affected production schedules throughout the quarter.,,Advanced,Low
stain,verb,mark or discolour with something that is not easily removed,Berry juice left a permanent stain on the white tablecloth.,,Core,High
intimate,adjective,having a close and friendly relationship,The intimate situation demanded immediate action.,,Medium,Mid
revolt,noun,a renouncing of allegiance,The revolt proved more complex than initially anticipated.,,Medium,Mid
opaque,adjective,not clear enough to,His opaque reasoning convinced the board members.,,Medium,Mid
bust,verb,break,Scientists bust their hypothesis through experimentation.,,Core,High
inhibit,verb,to prevent something,Administrators inhibit the new policy immediately.,,Medium,Mid
sacred,adjective,connected with God or a god,The sacred proposal gained widespread support.,,Medium,Mid
incentive,noun,stimulus,The incentive became apparent during testing.,,Advanced,Low
chagrin,noun,"disquietude or distress of mind caused by humiliation, disappointment, or failure vt. to vex or unsettle by disappointing or humiliating",Budget constraints limited the chagrin.,,Medium,Mid
embellish,verb,to make something more beautiful by adding decoration to it,Writers sometimes embellish true stories to make them more engaging.,,Advanced,Low
reciprocate,verb,to behave or feel towards somebody in the same way as they behave or feel towards you,"If you treat others with respect, they usually reciprocate.",,Advanced,Low
dismantle,verb,to take apart a machine or structure so that it is in separate pieces,Officials dismantle the proposal after public hearings.,,Advanced,Low
concede,verb,"to admit that something is true, logical, etc. after first denying it or resisting it",Recent studies concede previous assumptions about climate patterns.,,Medium,Mid
delicate,adjective,"easily damaged or broken, fragile",The delicate response surprised most observers.,,Medium,Mid
hiccup,noun,"a sharp, usually repeated, sound made in the throat, that is caused by a sudden movement of the diaphragm and that you cannot control",The hiccup affected production schedules throughout the quarter.,,Medium,Mid
postulate,verb,"suggest or assume the existence, fact, or truth of as a basis for reasoning, discussion, or belief",The researcher postulated that sleep patterns affect memory formation.,,Advanced,Low
cant,noun,the expression of conventional or trite opinions or sentiments,Evidence clearly supported the cant.,,Core,High
litter,noun,a number of young animals born to an animal at one time,The litter proved more complex than initially anticipated.,,Medium,Mid
renounce,verb,give up,Teachers renounce different learning styles in lesson plans.,,Medium,Mid
mandate,noun,an official order or commission to do something v. give authority to act in a certain way,Researchers studied the mandate under laboratory conditions.,,Medium,Mid
embryo,noun,an unborn or unhatched offspring in the process of development,Success depends on understanding the embryo.,,Medium,Mid
latitude,noun,"the distance of a place north or south of the equator, measured in degrees",Competition revealed each participant's latitude.,,Medium,Mid
peremptory,adjective,expecting to be obeyed immediately and without questioning or refusing,Students found the peremptory explanation helpful.,,Advanced,Low
accelerator,noun,a person or thing that causes something to happen or develop more quickly,Budget constraints limited the accelerator.,,Advanced,Low
invalidate,verb,"to prove that an idea, a story, an argument, etc. is wrong",Doctors invalidate treatment based on patient response.,,Advanced,Low
retrieve,verb,to bring or get something back,Students retrieve their study habits before finals.,,Medium,Mid
mortal,noun,"a human being subject to death, as opposed to a divine being adj. subject to death",The mortal emerged as a critical factor.,,Medium,Mid
hoax,noun,"an act intended to make somebody believe something that is not true, especially something unpleasant",The hoax influenced the committee's final decision.,,Core,High
indulgent,adjective,tending to allow somebody to have or do whatever they want,The indulgent response surprised most observers.,,Advanced,Low
galvanize,adjective,to make somebody take action by shocking them or by making them excited,Budget constraints made expansion galvanize.,,Advanced,Low
frivolous,adjective,"silly or funny, especially when such behaviour is not suitable",The frivolous conditions lasted several weeks.,,Advanced,Low
potential,adjective,that can develop into something or be developed in the future n. the possibility of something happening or being developed or used,The potential situation demanded immediate action.,,Advanced,Low
shabby,adjective,in poor condition because they have been used a lot,The team showed shabby improvement over time.,,Medium,Mid
literal,adjective,"being the most basic meaning of a word or phrase, rather than an extended meaning",His literal reasoning convinced the board members.,,Medium,Mid
disdain,noun,"contempt, scorn v. consider to be unworthy of one's consideration",Researchers studied the disdain under laboratory conditions.,,Medium,Mid
transparent,adjective,allowing light to pass through so that objects behind can be distinctly seen,Market conditions remained transparent throughout the year.,,Advanced,Low
merit,noun,a praiseworthy quality,Competition revealed each participant's merit.,,Core,High
compensatory,adjective,"intended to make up for something such as damage, loss, injury, etc",Students found the compensatory explanation helpful.,,Advanced,Low
vulnerability,noun,"the quality or state of being exposed to the possibility of being attacked or harmed, either physically or emotionally",Budget constraints limited the vulnerability.,,Advanced,Low
pattern,noun,a form or model proposed for imitation,The team's pattern improved over time.,template (); motif (),Medium,Mid
nonentity,noun,something that does not exist or exists only in the imagination,Historical records documented the nonentity.,,Advanced,Low
geometric,adjective,of geometry,Weather remained geometric during the expedition.,,Advanced,Low
fabricate,verb,to invent false information in order to trick people,Recent studies fabricate previous assumptions about climate patterns.,,Advanced,Low
emissary,noun,envoy,Analysis revealed a significant emissary in the data.,,Medium,Mid
regulate,verb,control or maintain the rate or speed of so that it operates properly,Financial advisors regulate conservative investment strategies.,,Medium,Mid
virulent,adjective,showing strong negative and bitter feelings,The virulent conditions lasted several weeks.,,Medium,Mid
fray,noun,"a usually disorderly or protracted fight, struggle, or dispute v. to wear by rubbing",Evidence clearly supported the fray.,,Core,High
popularize,verb,to make a lot of people know about something and enjoy it,Urban planners popularize traffic flow through new routes.,,Advanced,Low
flashback,noun,"a part of a film, play, etc. that shows a scene that happened earlier in time",Each flashback required separate documentation and approval.,,Advanced,Low
incubation,noun,sitting on in order to keep them warm and bring them to hatching,Researchers studied the incubation under laboratory conditions.,,Advanced,Low
drill,noun,a tool or machine with a pointed end for making holes,Success depends on understanding the drill.,,Core,High
wage,noun,"a fixed regular payment earned for work or services, typically paid on a daily or weekly basis v. carry on",Competition revealed each participant's wage.,,Core,High
titular,adjective,"the titular character of a book, play, film, etc. is the one mentioned in the title",Students found the titular explanation helpful.,,Medium,Mid
circulation,noun,"movement to and fro or around something, especially that of fluid in a closed system",Budget constraints limited the circulation.,,Advanced,Low
diminish,verb,"to become or make something become smaller, weaker, etc.",Doctors diminish treatment based on patient response.,,Medium,Mid
topography,noun,"the physical features of an area of land, especially the position of its rivers, mountains, etc.",Historical records documented the topography.,,Advanced,Low
catalyst,noun,a substance that makes a chemical reaction happen faster without being changed itself,The catalyst emerged as a critical factor.,,Medium,Mid
defuse,verb,to stop a possibly dangerous or difficult situation,Recent studies defuse previous assumptions about climate patterns.,,Medium,Mid
mammoth,adjective,"of very great size n. an animal like a large elephant covered with hair, that lived thousands of years ago and is now extinct",The mammoth response surprised most observers.,,Medium,Mid
haunted,adjective,believed to be visited by ghosts,Budget constraints made expansion haunted.,,Medium,Mid
lavish,adjective,"large in amount, or impressive, and usually costing a lot of money",The lavish conditions lasted several weeks.,,Medium,Mid
guise,noun,"a way in which somebody/something appears, often in a way that is different",Evidence clearly supported the guise.,,Core,High
pigment,noun,the natural colouring matter of animal or plant tissue,The pigment proved more complex than initially anticipated.,,Medium,Mid
correspondenc,noun,"the letters, emails, etc. a person sends and receives",Each correspondenc required separate documentation and approval.,,Advanced,Low
renovation,noun,"the act or process of repairing and painting an old building, piece of furniture, etc. so that it is in good condition again",Researchers studied the renovation under laboratory conditions.,,Advanced,Low
solidarity,noun,"unity or agreement of feeling or action, especially among individuals with a common interest",Success depends on understanding the solidarity.,,Advanced,Low
perverse,adjective,"showing a deliberate and determined desire to behave in a way that most people think is wrong, unacceptable or unreasonable",The perverse proposal gained widespread support.,,Medium,Mid
chronicle,noun,a written record of events in the order in which they happened v. record in a factual and detailed way,The chronicle became apparent during testing.,,Advanced,Low
saga,noun,a long traditional story about adventures and brave acts,Budget constraints limited the saga.,,Core,High
equivalent,adjective,"equal in value, amount, meaning, importance, etc. n. a thing, amount, word, etc. that is equal in value, meaning or purpose",Their equivalent strategy proved effective.,,Advanced,Low
vain,adjective,"too proud of your own appearance, abilities or achievements",The vain evidence supported the theory.,,Core,High
scout,noun,"lookout, watchman",The scout emerged as a critical factor.,,Core,High
barometer,noun,an instrument for determining the pressure of the atmosphere,The barometer influenced the committee's final decision.,,Advanced,Low
venture,noun,a business enterprise,Analysis revealed a significant venture in the data.,,Medium,Mid
trophic,noun,"in a food web, the cascading effect that a change in the size of one population in the web has on the populations below it",The trophic affected production schedules throughout the quarter.,,Medium,Mid
orbit,noun,a curved path followed by a planet or an object,The research orbit took three years to complete.,,Core,High
deliberation,noun,the process of carefully considering or discussing something,Evidence clearly supported the deliberation.,,Advanced,Low
prize,noun,award,The prize proved more complex than initially anticipated.,,Core,High
median,noun,the middle value of a series of numbers arranged in order of size adj. having a value in the middle of a series of values,Each median required separate documentation and approval.,,Medium,Mid
nullify,verb,invalidate,Scientists nullify their hypothesis through experimentation.,,Medium,Mid
dare,verb,"to persuade somebody to do something dangerous, difficult or embarrassing so that they can show that they are not afraid",Administrators dare the new policy immediately.,,Core,High
encapsulate,verb,"sum up, to express the most important parts of something in a few words",Athletes encapsulate their training during off-season.,,Advanced,Low
preoccupied,adjective,thinking and/ or worrying continuously about something so that you do not pay attention to other things,"He seemed preoccupied throughout dinner, barely joining the conversation.",,Advanced,Low
wistful,adjective,"thinking sadly about something that you would like to have, especially something in the past that you can no longer have",The wistful design won several awards.,,Medium,Mid
excoriate,verb,to criticize somebody/ something severely,Doctors excoriate treatment based on patient response.,,Advanced,Low
extrinsic,adjective,external,The extrinsic evidence supported the theory.,,Advanced,Low
acknowledge,verb,admit,Officials acknowledge the proposal after public hearings.,,Advanced,Low
ethnographic,adjective,"connected with the scientific description of different peoples and cultures, with their customs, habits and differences",Her ethnographic approach solved the complex problem.,,Advanced,Low
economical,adjective,"giving good value or return in relation to the money, time, or effort expended",The economical response surprised most observers.,thrifty; cost-effective,Advanced,Low
dissolve,verb,"to officially end a marriage, business agreement or parliament",Financial advisors dissolve conservative investment strategies.,,Medium,Mid
atrophy,noun,decrease in size or wasting away of a body part or tissue v. to become weaker or waste away,The research atrophy took three years to complete.,,Medium,Mid
propagate,verb,to increase by sexual or asexual reproduction,Historians propagate the accuracy of ancient texts.,,Advanced,Low
resilient,adjective,able to recoil or spring back into shape after bending,The team showed resilient improvement over time.,,Advanced,Low
infestation,noun,"the presence of an unusually large number of insects or animals in a place, typically so as to cause damage or disease",Each infestation required separate documentation and approval.,,Advanced,Low
usher,noun,"a person who shows people where to sit in a church, public hall, etc. v. to take or show somebody where they should go",Researchers studied the usher under laboratory conditions.,,Core,High
tinge,noun,"a slight trace of a color, feeling or quality v. color slightly",Success depends on understanding the tinge.,,Core,High
errand,noun,"a job that you do for somebody that involves going somewhere to take a message, to buy something, deliver goods, etc.",Competition revealed each participant's errand.,,Medium,Mid
discern,verb,recognize or find out,Researchers discern the data before publication.,,Medium,Mid
insoluble,adjective,that does not dissolve in a liquid,The insoluble design won several awards.,,Advanced,Low
mercenary,noun,a soldier who will fight for any country or group that offers payment adj. only interested in making or getting money,The team's mercenary improved over time.,,Advanced,Low
