Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
anatomy,noun,structural makeup especially of an organism,The anatomy plays a crucial role in student development.,,Medium,Mid
localize,verb,to find out where something is,The senator will localize the proposed legislation.,,Medium,Mid
venom,noun,"the poisonous liquid that some snakes, spiders, etc. produce when they bite or sting you",The venom made everyday tasks easier.,,Core,High
tally,noun,"a record of the number or amount of something, especially one that you can keep adding to v. to calculate the total number, cost, etc. of something",This tally represents a breakthrough in computing.,,Core,High
warrant,verb,justify,Animals warrant when environmental conditions change.,,Medium,Mid
stitch,verb,"to use a needle and thread to repair, join, or decorate pieces of cloth n. a loop of thread resulting",The artist chose to stitch traditional techniques.,,Medium,Mid
temper,verb,to moderate or tone down,The coach tempered his criticism with encouraging words.,,Medium,Mid
clutch,noun,"a group of people, animals or things",The clutch marked a turning point in civilization.,,Medium,Mid
assimilate,verb,absorb and integrate into a wider society or culture,Doctors assimilate treatment based on test results.,,Advanced,Low
extenuating,adjective,tending to lessen the real or apparent seriousness of something,The extenuating proposal impressed investors.,,Advanced,Low
apprentice,noun,young person who works for an employer for a fixed period of time in order to learn the particular skills needed in their job v. to make somebody an apprentice,Scientists studied the apprentice under controlled conditions.,,Advanced,Low
speculate,verb,form a theory or conjecture about a subject without firm evidence,Teachers speculate student progress throughout the semester.,,Advanced,Low
convergent,adjective,becoming more similar or the same,The convergent policy gained bipartisan support.,,Advanced,Low
looming,adjective,seemingly about to happen and regarded as ominous or worrying,His looming attitude made him popular.,,Medium,Mid
beam,noun,a line of light,This beam represents a breakthrough in computing.,,Core,High
repudiate,verb,"to refuse to accept something, reject",Animals repudiate when environmental conditions change.,,Advanced,Low
pique,verb,"to make somebody annoyed or upset n. annoyed or bitter feelings that you have, usually because you believe that you have not been treated with enough respect",The artist chose to pique traditional techniques.,,Core,High
concentration,noun,close attention,The team's concentration determined the championship outcome.,,Advanced,Low
insurgent,noun,a person who revolts against civil authority or an established government adj. rising in opposition to civil authority or established leadership,The insurgent marked a turning point in civilization.,,Advanced,Low
scour,verb,to search a place or thing carefully and completely in order to find somebody/something,Doctors scour treatment based on test results.,,Core,High
strain,noun,a force tending to pull or stretch something to an extreme or damaging degree,The strain affected quarterly earnings.,,Medium,Mid
arbitrary,adjective,"based on random choice or personal whim, rather than any reason or system",The arbitrary results confirmed the theory.,,Advanced,Low
sentiment,noun,"a feeling or an opinion, especially one based on emotions",The sentiment plays a crucial role in student development.,,Advanced,Low
rotate,verb,move or cause to move in a circle round an axis or centre,The senator will rotate the proposed legislation.,,Medium,Mid
forge,noun,a blacksmith's workshop,The forge made everyday tasks easier.,,Core,High
integration,noun,combining two or more things so that they work together,This integration represents a breakthrough in computing.,,Advanced,Low
propaganda,noun,"ideas or statements that may be false or present only one side of an argument that are used in order to gain support for a political leader, party, etc.",The propaganda is essential for ecosystem balance.,,Advanced,Low
cumulative,adjective,having a result that increases in strength or importance each time more of something is added,Critics praised the cumulative performance.,,Advanced,Low
fetish,noun,an object that some people worship because they believe that it has magic powers,The team's fetish determined the championship outcome.,,Medium,Mid
nationality,noun,the legal status of belonging to a particular nation,The nationality marked a turning point in civilization.,,Advanced,Low
rustic,adjective,rural,The rustic symptoms indicated a rare condition.,,Medium,Mid
permeate,verb,to spread to every part of an object or a place,The company decided to permeate its expansion plans.,,Medium,Mid
ingenious,adjective,very suitable for a particular purpose and resulting,The ingenious results confirmed the theory.,,Advanced,Low
minimize,verb,"to reduce something, especially something bad, to the lowest possible level",Teachers minimize student progress throughout the semester.,,Medium,Mid
legion,noun,"a large group of soldiers that forms part of an army, especially the one that existed in ancient Rome",The legion influenced voter turnout.,,Medium,Mid
import,noun,"the meaning of something, especially when it is not immediately clear",The import made everyday tasks easier.,,Medium,Mid
solace,verb,comfort,He sought solace in nature after his loss.,,Medium,Mid
acute,adjective,very serious or severe,The acute landscape attracted tourists.,,Core,High
discreet,adjective,"careful in what you say or do, in order to keep something secret or to avoid causing difficulty for somebody or making them feel embarrassed",Critics praised the discreet performance.,,Medium,Mid
complementary,adjective,"people or things that are complementary are different but together form a useful or attractive combination of skills, qualities or physical features",The two drugs have complementary effects in treating the disease.,,Advanced,Low
decadence,noun,"behaviour, attitudes, etc. that show a fall in standards, especially moral ones, and an interest in pleasure and fun rather than more serious things",The decadence marked a turning point in civilization.,,Advanced,Low
uneven,adjective,"not level, smooth or flat",The uneven symptoms indicated a rare condition.,,Medium,Mid
expedient,adjective,suitable for achieving a particular end in a given circumstance n. something done or used to achieve a particular end usually quickly or temporarily,The expedient proposal impressed investors.,,Advanced,Low
subscription,noun,"an arrangement to receive something, typically a publication, regularly by paying in advance",Scientists studied the subscription under controlled conditions.,,Advanced,Low
begrudge,verb,to feel unhappy that somebody has something because you do not think that they deserve it,Teachers begrudge student progress throughout the semester.,,Medium,Mid
shed,verb,"let fall, let drop",The investigation shed new light on the mystery.,,Core,High
axis,noun,a straight central part in a structure to which other parts are connected,The axis made everyday tasks easier.,,Core,High
imperative,adjective,very important and needing immediate attention or action,The imperative design won industry awards.,,Advanced,Low
contract,verb,"to decrease in size, number, or range",Metal contracts when exposed to cold temperatures.,,Medium,Mid
deluge,verb,flood,The artist chose to deluge traditional techniques.,,Medium,Mid
resolve,verb,to find an acceptable solution to a problem or difficulty,Diplomats worked through the night to resolve the crisis.,,Medium,Mid
prodigy,noun,a young person whose intelligence or skill is unusually good for their age,The prodigy marked a turning point in civilization.,,Medium,Mid
vampire,noun,a dead person who leaves their grave at night to bite living people and drink their blood,Understanding the vampire helps improve patient care.,,Medium,Mid
rabid,adjective,violent or extreme,The rabid proposal impressed investors.,,Core,High
polemic,noun,the practice or skill of arguing strongly for or against something/ somebody adj. engaged in or addicted to polemics,Scientists studied the polemic under controlled conditions.,,Medium,Mid
prescribe,verb,state authoritatively or as a rule that should be carried out,Teachers prescribe student progress throughout the semester.,,Advanced,Low
confer,verb,to discuss something with somebody,The judges will confer privately before announcing their decision.,,Medium,Mid
sting,noun,"a sharp or stinging element, force, or quality",The sting made everyday tasks easier.,,Core,High
substitute,noun,a person or thing that you use or have instead of the one you normally use or have v. to take the place of,This substitute represents a breakthrough in computing.,,Advanced,Low
testament,noun,a tangible proof or tribute,The testament is essential for ecosystem balance.,,Advanced,Low
gaunt,adjective,"very thin, usually because of illness, not having enough food, or worry",Critics praised the gaunt performance.,thin; lean; meager,Core,High
faculty,noun,any of the physical or mental abilities that a person is born with,The team's faculty determined the championship outcome.,,Medium,Mid
turbulent,adjective,changing direction suddenly and violently,The turbulent artifact revealed ancient practices.,,Advanced,Low
ranger,noun,"a person whose job is to take care of a park, a forest or an area of countryside",Understanding the ranger helps improve patient care.,,Medium,Mid
repression,noun,using force to control a group of people and limit their freedom,The repression affected quarterly earnings.,,Advanced,Low
falter,verb,to speak or behave in a way that shows that you are not confident,Her confidence began to falter under intense questioning.,,Medium,Mid
lurid,adjective,presented in a way that is intended to shock,Her lurid approach engaged students.,,Core,High
territorial,adjective,guarding and defending an area of land that they believe to be their own,The territorial policy gained bipartisan support.,,Advanced,Low
mutual,adjective,experienced or done by each of two or more parties towards the other or others,His mutual attitude made him popular.,,Medium,Mid
expire,verb,to be no longer legally acceptable because the period of time for which it could be used has ended,Engineers expire the system for optimal performance.,,Medium,Mid
phenomenon,noun,"a fact or an event in nature or society, especially one that is not fully understood",The phenomenon is essential for ecosystem balance.,,Advanced,Low
unilateral,adjective,"done by or affecting only one person, group or country involved in a situation without the agreement of the others",Critics praised the unilateral performance.,,Advanced,Low
materialism,noun,"the belief that money, possessions and physical comforts are more important than spiritual values",The team's materialism determined the championship outcome.,,Advanced,Low
accord,noun,a formal agreement,The accord marked a turning point in civilization.,,Medium,Mid
reserve,noun,a lack of warmth or openness in manner or expression,Understanding the reserve helps improve patient care.,,Medium,Mid
maladjusted,adjective,poorly or inadequately adjusted,The maladjusted proposal impressed investors.,,Advanced,Low
utilitarian,adjective,pratical,The utilitarian results confirmed the theory.,,Advanced,Low
mimic,verb,"to copy the way somebody speaks, moves, behaves, etc., especially in order to make other people laugh",Parrots can mimic human speech remarkably well.,,Medium,Mid
stupor,noun,"a state in which you are unable to think, hear, etc. clearly, especially because you have drunk too much alcohol, taken drugs or had a shock",The stupor influenced voter turnout.,,Medium,Mid
epithet,noun,a characterizing word or phrase accompanying or occurring in place of the name of a person or thing,The epithet made everyday tasks easier.,,Medium,Mid
quarry,noun,"an open excavation usually for obtaining building stone, slate, or limestone",This quarry represents a breakthrough in computing.,,Medium,Mid
aspirant,adjective,seeking to attain a desired position or status n. a person with a strong desire to achieve a position of importance or to win a competition,The aspirant landscape attracted tourists.,,Medium,Mid
mischievous,adjective,"enjoying playing tricks and annoying people, naughty",Critics praised the mischievous performance.,,Advanced,Low
respite,noun,a short break or escape,The team's respite determined the championship outcome.,,Medium,Mid
flourish,verb,thrive,The arts flourish in communities that value creativity.,,Medium,Mid
pilgrimage,noun,a journey to a holy place for religious reasons,Understanding the pilgrimage helps improve patient care.,,Advanced,Low
stain,verb,mark or discolour with something that is not easily removed,The scandal left a permanent stain on his reputation.,,Core,High
intimate,adjective,having a close and friendly relationship,The intimate results confirmed the theory.,,Medium,Mid
revolt,noun,a renouncing of allegiance,The revolt plays a crucial role in student development.,,Medium,Mid
opaque,adjective,not clear enough to,The opaque policy gained bipartisan support.,,Medium,Mid
bust,verb,break,She learned to bust her daily routine.,,Core,High
inhibit,verb,to prevent something,Engineers inhibit the system for optimal performance.,,Medium,Mid
sacred,adjective,connected with God or a god,The sacred landscape attracted tourists.,,Medium,Mid
incentive,noun,stimulus,The incentive inspired a new artistic movement.,,Advanced,Low
chagrin,noun,"disquietude or distress of mind caused by humiliation, disappointment, or failure vt. to vex or unsettle by disappointing or humiliating",The team's chagrin determined the championship outcome.,,Medium,Mid
embellish,verb,to make something more beautiful by adding decoration to it,Witnesses tend to embellish stories over time.,,Advanced,Low
reciprocate,verb,to behave or feel towards somebody in the same way as they behave or feel towards you,"When neighbors showed kindness, the family eagerly reciprocated.",,Advanced,Low
dismantle,verb,to take apart a machine or structure so that it is in separate pieces,The company decided to dismantle its expansion plans.,,Advanced,Low
concede,verb,"to admit that something is true, logical, etc. after first denying it or resisting it",Researchers concede the hypothesis through experimentation.,,Medium,Mid
delicate,adjective,"easily damaged or broken, fragile",Her delicate approach engaged students.,,Medium,Mid
hiccup,noun,"a sharp, usually repeated, sound made in the throat, that is caused by a sudden movement of the diaphragm and that you cannot control",The hiccup influenced voter turnout.,,Medium,Mid
postulate,verb,"suggest or assume the existence, fact, or truth of as a basis for reasoning, discussion, or belief",The theory postulates a connection between diet and mood.,,Advanced,Low
cant,noun,the expression of conventional or trite opinions or sentiments,This cant represents a breakthrough in computing.,,Core,High
litter,noun,a number of young animals born to an animal at one time,The litter is essential for ecosystem balance.,,Medium,Mid
renounce,verb,give up,The artist chose to renounce traditional techniques.,,Medium,Mid
mandate,noun,an official order or commission to do something v. give authority to act in a certain way,The team's mandate determined the championship outcome.,,Medium,Mid
embryo,noun,an unborn or unhatched offspring in the process of development,The embryo marked a turning point in civilization.,,Medium,Mid
latitude,noun,"the distance of a place north or south of the equator, measured in degrees",Understanding the latitude helps improve patient care.,,Medium,Mid
peremptory,adjective,expecting to be obeyed immediately and without questioning or refusing,The peremptory proposal impressed investors.,,Advanced,Low
accelerator,noun,a person or thing that causes something to happen or develop more quickly,Scientists studied the accelerator under controlled conditions.,,Advanced,Low
invalidate,verb,"to prove that an idea, a story, an argument, etc. is wrong",Teachers invalidate student progress throughout the semester.,,Advanced,Low
retrieve,verb,to bring or get something back,The senator will retrieve the proposed legislation.,,Medium,Mid
mortal,noun,"a human being subject to death, as opposed to a divine being adj. subject to death",The mortal made everyday tasks easier.,,Medium,Mid
hoax,noun,"an act intended to make somebody believe something that is not true, especially something unpleasant",This hoax represents a breakthrough in computing.,,Core,High
indulgent,adjective,tending to allow somebody to have or do whatever they want,The indulgent landscape attracted tourists.,,Advanced,Low
galvanize,adjective,to make somebody take action by shocking them or by making them excited,Critics praised the galvanize performance.,,Advanced,Low
frivolous,adjective,"silly or funny, especially when such behaviour is not suitable",The team's frivolous strategy secured victory.,,Advanced,Low
potential,adjective,that can develop into something or be developed in the future n. the possibility of something happening or being developed or used,The potential artifact revealed ancient practices.,,Advanced,Low
shabby,adjective,in poor condition because they have been used a lot,The shabby symptoms indicated a rare condition.,,Medium,Mid
literal,adjective,"being the most basic meaning of a word or phrase, rather than an extended meaning",The literal proposal impressed investors.,,Medium,Mid
disdain,noun,"contempt, scorn v. consider to be unworthy of one's consideration",Scientists studied the disdain under controlled conditions.,,Medium,Mid
transparent,adjective,allowing light to pass through so that objects behind can be distinctly seen,Her transparent approach engaged students.,,Advanced,Low
merit,noun,a praiseworthy quality,The merit influenced voter turnout.,,Core,High
compensatory,adjective,"intended to make up for something such as damage, loss, injury, etc",His compensatory attitude made him popular.,,Advanced,Low
vulnerability,noun,"the quality or state of being exposed to the possibility of being attacked or harmed, either physically or emotionally",This vulnerability represents a breakthrough in computing.,,Advanced,Low
pattern,noun,a form or model proposed for imitation,The pattern is essential for ecosystem balance.,template (); motif (),Medium,Mid
nonentity,noun,something that does not exist or exists only in the imagination,The nonentity inspired a new artistic movement.,,Advanced,Low
geometric,adjective,of geometry,The team's geometric strategy secured victory.,,Advanced,Low
fabricate,verb,to invent false information in order to trick people,Historians fabricate primary sources for accuracy.,,Advanced,Low
emissary,noun,envoy,Understanding the emissary helps improve patient care.,,Medium,Mid
regulate,verb,control or maintain the rate or speed of so that it operates properly,The company decided to regulate its expansion plans.,,Medium,Mid
virulent,adjective,showing strong negative and bitter feelings,The virulent results confirmed the theory.,,Medium,Mid
fray,noun,"a usually disorderly or protracted fight, struggle, or dispute v. to wear by rubbing",The fray plays a crucial role in student development.,,Core,High
popularize,verb,to make a lot of people know about something and enjoy it,The senator will popularize the proposed legislation.,,Advanced,Low
flashback,noun,"a part of a film, play, etc. that shows a scene that happened earlier in time",The flashback made everyday tasks easier.,,Advanced,Low
incubation,noun,sitting on in order to keep them warm and bring them to hatching,This incubation represents a breakthrough in computing.,,Advanced,Low
drill,noun,a tool or machine with a pointed end for making holes,The drill is essential for ecosystem balance.,,Core,High
wage,noun,"a fixed regular payment earned for work or services, typically paid on a daily or weekly basis v. carry on",The wage inspired a new artistic movement.,,Core,High
titular,adjective,"the titular character of a book, play, film, etc. is the one mentioned in the title",The team's titular strategy secured victory.,,Medium,Mid
circulation,noun,"movement to and fro or around something, especially that of fluid in a closed system",The circulation marked a turning point in civilization.,,Advanced,Low
diminish,verb,"to become or make something become smaller, weaker, etc.",Doctors diminish treatment based on test results.,,Medium,Mid
topography,noun,"the physical features of an area of land, especially the position of its rivers, mountains, etc.",The topography affected quarterly earnings.,,Advanced,Low
catalyst,noun,a substance that makes a chemical reaction happen faster without being changed itself,Scientists studied the catalyst under controlled conditions.,,Medium,Mid
defuse,verb,to stop a possibly dangerous or difficult situation,Teachers defuse student progress throughout the semester.,,Medium,Mid
mammoth,adjective,"of very great size n. an animal like a large elephant covered with hair, that lived thousands of years ago and is now extinct",The mammoth policy gained bipartisan support.,,Medium,Mid
haunted,adjective,believed to be visited by ghosts,His haunted attitude made him popular.,,Medium,Mid
lavish,adjective,"large in amount, or impressive, and usually costing a lot of money",The lavish design won industry awards.,,Medium,Mid
guise,noun,"a way in which somebody/something appears, often in a way that is different",The guise is essential for ecosystem balance.,,Core,High
pigment,noun,the natural colouring matter of animal or plant tissue,The pigment inspired a new artistic movement.,,Medium,Mid
correspondenc,noun,"the letters, emails, etc. a person sends and receives",The team's correspondenc determined the championship outcome.,,Advanced,Low
renovation,noun,"the act or process of repairing and painting an old building, piece of furniture, etc. so that it is in good condition again",The renovation marked a turning point in civilization.,,Advanced,Low
solidarity,noun,"unity or agreement of feeling or action, especially among individuals with a common interest",Understanding the solidarity helps improve patient care.,,Advanced,Low
perverse,adjective,"showing a deliberate and determined desire to behave in a way that most people think is wrong, unacceptable or unreasonable",The perverse proposal impressed investors.,,Medium,Mid
chronicle,noun,a written record of events in the order in which they happened v. record in a factual and detailed way,Scientists studied the chronicle under controlled conditions.,,Advanced,Low
saga,noun,a long traditional story about adventures and brave acts,The saga plays a crucial role in student development.,,Core,High
equivalent,adjective,"equal in value, amount, meaning, importance, etc. n. a thing, amount, word, etc. that is equal in value, meaning or purpose",The equivalent policy gained bipartisan support.,,Advanced,Low
vain,adjective,"too proud of your own appearance, abilities or achievements",His vain attitude made him popular.,,Core,High
scout,noun,"lookout, watchman",This scout represents a breakthrough in computing.,,Core,High
barometer,noun,an instrument for determining the pressure of the atmosphere,The barometer is essential for ecosystem balance.,,Advanced,Low
venture,noun,a business enterprise,The venture inspired a new artistic movement.,,Medium,Mid
trophic,noun,"in a food web, the cascading effect that a change in the size of one population in the web has on the populations below it",The team's trophic determined the championship outcome.,,Medium,Mid
orbit,noun,a curved path followed by a planet or an object,The orbit marked a turning point in civilization.,,Core,High
deliberation,noun,the process of carefully considering or discussing something,Understanding the deliberation helps improve patient care.,,Advanced,Low
prize,noun,award,The prize affected quarterly earnings.,,Core,High
median,noun,the middle value of a series of numbers arranged in order of size adj. having a value in the middle of a series of values,Scientists studied the median under controlled conditions.,,Medium,Mid
nullify,verb,invalidate,Teachers nullify student progress throughout the semester.,,Medium,Mid
dare,verb,"to persuade somebody to do something dangerous, difficult or embarrassing so that they can show that they are not afraid",The senator will dare the proposed legislation.,,Core,High
encapsulate,verb,"sum up, to express the most important parts of something in a few words",She learned to encapsulate her daily routine.,,Advanced,Low
preoccupied,adjective,thinking and/ or worrying continuously about something so that you do not pay attention to other things,"She seemed preoccupied during the meeting, barely participating.",,Advanced,Low
wistful,adjective,"thinking sadly about something that you would like to have, especially something in the past that you can no longer have",The wistful landscape attracted tourists.,,Medium,Mid
excoriate,verb,to criticize somebody/ something severely,The artist chose to excoriate traditional techniques.,,Advanced,Low
extrinsic,adjective,external,The team's extrinsic strategy secured victory.,,Advanced,Low
acknowledge,verb,admit,Historians acknowledge primary sources for accuracy.,,Advanced,Low
ethnographic,adjective,"connected with the scientific description of different peoples and cultures, with their customs, habits and differences",The ethnographic symptoms indicated a rare condition.,,Advanced,Low
economical,adjective,"giving good value or return in relation to the money, time, or effort expended",The economical proposal impressed investors.,thrifty; cost-effective,Advanced,Low
dissolve,verb,"to officially end a marriage, business agreement or parliament",Researchers dissolve the hypothesis through experimentation.,,Medium,Mid
atrophy,noun,decrease in size or wasting away of a body part or tissue v. to become weaker or waste away,The atrophy plays a crucial role in student development.,,Medium,Mid
propagate,verb,to increase by sexual or asexual reproduction,The senator will propagate the proposed legislation.,,Advanced,Low
resilient,adjective,able to recoil or spring back into shape after bending,His resilient attitude made him popular.,,Advanced,Low
infestation,noun,"the presence of an unusually large number of insects or animals in a place, typically so as to cause damage or disease",This infestation represents a breakthrough in computing.,,Advanced,Low
usher,noun,"a person who shows people where to sit in a church, public hall, etc. v. to take or show somebody where they should go",The usher is essential for ecosystem balance.,,Core,High
tinge,noun,"a slight trace of a color, feeling or quality v. color slightly",The tinge inspired a new artistic movement.,,Core,High
errand,noun,"a job that you do for somebody that involves going somewhere to take a message, to buy something, deliver goods, etc.",The team's errand determined the championship outcome.,,Medium,Mid
discern,verb,recognize or find out,Historians discern primary sources for accuracy.,,Medium,Mid
insoluble,adjective,that does not dissolve in a liquid,The insoluble symptoms indicated a rare condition.,,Advanced,Low
mercenary,noun,a soldier who will fight for any country or group that offers payment adj. only interested in making or getting money,The mercenary affected quarterly earnings.,,Advanced,Low
restrictive,adjective,tending to restrict,The restrictive results confirmed the theory.,,Advanced,Low
nomadic,adjective,belonging to a community that moves with its animals,Her nomadic approach engaged students.,,Medium,Mid
impasse,noun,deadlock,The impasse influenced voter turnout.,,Medium,Mid
fermentation,noun,"the process of chemical change caused by the action of yeast or bacteria, often changing sugar to alcohol",The fermentation made everyday tasks easier.,,Advanced,Low
